346186.173608,4069617.6487
346186.175014,4069617.65237
346186.178899,4069617.65323
346186.179355,4069617.65377
346186.172049,4069617.66131
346186.16355,4069617.66867
346186.151697,4069617.68812
346186.122817,4069617.7125
346186.09975,4069617.74566
346186.070439,4069617.77911
346186.007647,4069617.82944
346185.960555,4069617.89207
346185.911154,4069617.94216
346185.849293,4069618.00283
346185.802565,4069618.06915
346185.731936,4069618.13053
346185.66165,4069618.21096
346185.598379,4069618.28424
346185.533687,4069618.36124
346185.457651,4069618.43641
346185.389239,4069618.51348
346185.3172,4069618.58747
346185.248759,4069618.67119
346185.167576,4069618.74978
346185.101162,4069618.83865
346185.01598,4069618.92657
346184.949943,4069619.01154
346184.86451,4069619.11037
346184.791987,4069619.1988
346184.705589,4069619.3019
346184.632871,4069619.38774
346184.549944,4069619.48523
346184.470706,4069619.57266
346184.392853,4069619.66266
346184.30947,4069619.75961
346184.239495,4069619.84077
346184.164073,4069619.9335
346184.095651,4069620.01002
346184.022531,4069620.10659
346183.933638,4069620.1868
346183.862179,4069620.2765
346183.775513,4069620.37295
346183.701751,4069620.46694
346183.618774,4069620.56166
346183.532105,4069620.65792
346183.438506,4069620.75782
346183.354218,4069620.86237
346183.273433,4069620.95482
346183.178714,4069621.05863
346183.096284,4069621.15889
346183.01096,4069621.25549
346182.933254,4069621.35363
346182.852532,4069621.44128
346182.779833,4069621.52823
346182.704677,4069621.61096
346182.628854,4069621.69797
346182.564545,4069621.77145
346182.484348,4069621.8552
346182.432324,4069621.92494
346182.348889,4069622.00247
346182.291244,4069622.06584
346182.224874,4069622.13233
346182.156173,4069622.20163
346182.097297,4069622.25448
346182.034944,4069622.3209
346181.979737,4069622.37091
346181.918416,4069622.43675
346181.85997,4069622.49699
346181.81006,4069622.5519
346181.749356,4069622.6107
346181.689092,4069622.66912
346181.629589,4069622.73678
346181.568988,4069622.79299
346181.504252,4069622.86759
346181.439571,4069622.92868
346181.38013,4069622.99153
346181.318769,4069623.05515
346181.256258,4069623.12102
346181.205898,4069623.17575
346181.142894,4069623.23903
346181.089053,4069623.29882
346181.031328,4069623.35775
346180.978562,4069623.41105
346180.921696,4069623.46812
346180.863813,4069623.53482
346180.804276,4069623.59231
346180.735494,4069623.66531
346180.663696,4069623.73615
346180.588886,4069623.81334
346180.515426,4069623.89105
346180.443917,4069623.96965
346180.370767,4069624.03978
346180.300813,4069624.10559
346180.236901,4069624.18461
346180.172902,4069624.2505
346180.104658,4069624.32035
346180.037739,4069624.38944
346179.968207,4069624.47041
346179.891772,4069624.54818
346179.81287,4069624.6295
346179.719227,4069624.71868
346179.636697,4069624.81339
346179.540116,4069624.91297
346179.453992,4069625.00645
346179.352251,4069625.10872
346179.262375,4069625.20874
346179.171216,4069625.3036
346179.077091,4069625.39907
346178.985547,4069625.48913
346178.893421,4069625.59641
346178.802526,4069625.68942
346178.710345,4069625.78541
346178.617861,4069625.88936
346178.520405,4069625.98989
346178.415351,4069626.09832
346178.308087,4069626.21622
346178.193771,4069626.33093
346178.080781,4069626.45319
346177.962329,4069626.56963
346177.855373,4069626.69641
346177.741662,4069626.81165
346177.633445,4069626.92624
346177.521547,4069627.05126
346177.411316,4069627.16145
346177.303232,4069627.27512
346177.191339,4069627.39218
346177.084286,4069627.50527
346176.982965,4069627.61437
346176.884729,4069627.7212
346176.782192,4069627.82885
346176.684814,4069627.92549
346176.564204,4069628.02958
346176.465355,4069628.12717
346176.358704,4069628.22953
346176.268181,4069628.33492
346176.174718,4069628.43408
346176.078725,4069628.52496
346175.983189,4069628.62471
346175.889239,4069628.71334
346175.790223,4069628.80169
346175.69602,4069628.87626
346175.595267,4069628.95076
346175.501842,4069629.01071
346175.405011,4069629.06332
346175.310704,4069629.10737
346175.207421,4069629.14882
346175.113048,4069629.18917
346175.015434,4069629.22312
346174.908415,4069629.2637
346174.816881,4069629.29642
346174.703952,4069629.32287
346174.591084,4069629.36097
346174.460857,4069629.38551
